Cards,high card,pair,two pair,three of a kind,straight,flush,full house,four of a kind,straight flush
8c 7c 6s 5s,1182,2860,1230,226,4179,245,73,0,5
0c 9s 7c 4c,2164,4191,1501,280,715,1082,62,3,2
As Ah Ks Qh,0,4119,4006,774,397,182,494,28,0
Kc 0c 9c 4c,1143,2592,1062,201,214,4702,58,1,27
As Ks Js 6s,1207,2576,1073,183,170,4718,49,3,21
Ah Ks Kh 3h,0,3760,3842,735,74,986,574,26,3
8d 8c 7c 6s,0,3549,3918,761,1106,95,540,27,4
Kd 0c 7c 4c,2443,4436,1507,277,201,1059,70,5,2
Kc 0c 7c 4d,2466,4490,1397,280,206,1095,61,1,4
,1693,4418,2373,479,463,320,229,22,3
