Cards,high card,pair,two pair,three of a kind,straight,flush,full house,four of a kind,straight flush
Kc 0c 4c Jh,2178,4248,1540,241,678,1043,72,0,0
Kc 0c 4c Qh,2165,4317,1491,235,668,1057,64,2,1
Kc 0c 4c Kh,0,3620,3917,775,49,1069,554,15,1
Kc 0c 4c Ah,2258,4409,1544,268,377,1064,75,4,1
Kc 0c 4c 2d,2452,4584,1478,253,130,1044,56,1,2
Kc 0c 4c 3d,2418,4612,1476,247,141,1055,50,1,0
Kc 0c 4c 4d,0,3679,3836,748,54,1109,547,25,2
Kc 0c 4c 5d,2415,4485,1473,248,195,1112,67,3,2
Kc 0c 4c 6d,2446,4486,1472,271,217,1039,64,3,2
Kc 0c 4c 7d,2361,4575,1481,251,184,1072,71,4,1
Kc 0c 4c 8d,2435,4547,1545,241,154,1006,67,2,3
Kc 0c 4c 9d,2362,4352,1506,231,408,1076,61,2,2
Kc 0c 4c 0d,0,3794,3753,786,50,1035,551,31,0
Kc 0c 4c Jd,2206,4219,1496,269,684,1060,63,2,1
Kc 0c 4c Qd,2129,4301,1488,297,642,1067,73,2,1
Kc 0c 4c Kd,0,3626,3888,792,52,1056,561,25,0
Kc 0c 4c Ad,2386,4301,1522,273,386,1069,62,1,0
Kc 0c 4c 2c,1257,2542,1082,184,62,4807,63,2,1
Kc 0c 4c 3c,1212,2591,1100,187,70,4767,68,2,3
Kc 0c 4c 5c,1173,2652,1116,199,92,4688,70,6,4
Kc 0c 4c 6c,1248,2621,1093,171,90,4708,62,1,6
Kc 0c 4c 7c,1222,2601,1151,177,103,4689,54,2,1
Kc 0c 4c 8c,1256,2542,1111,208,74,4744,59,2,4
Kc 0c 4c 9c,1157,2579,1053,194,190,4739,61,2,25
Kc 0c 4c Jc,1149,2548,1034,190,370,4596,63,3,47
Kc 0c 4c Qc,1089,2514,1108,200,351,4616,68,3,51
Kc 0c 4c Ac,1202,2533,1100,201,207,4673,58,3,23
