ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSNFLAG,HCNFLAG,WMOID,x,y,x_group,y_group,xy_group,hash
USC00213962,44.9089,-94.3675,333.8,MN,HUTCHINSON 1 N,,,,-7431602.418737189,4993648.89546134,-7447744.539494399 to -7350411.110778033,4913600.9074839875 to 5010934.336200354,"-7447744.539494399 to -7350411.110778033, 4913600.9074839875 to 5010934.336200354",bf24b60b5987abba8b11562299308236afed96352d8d19914000b0df
USC00213965,44.8978,-94.3719,326.1,MN,HUTCHINSON 2,,,,-7433384.018472522,4992414.630032001,-7447744.539494399 to -7350411.110778033,4913600.9074839875 to 5010934.336200354,"-7447744.539494399 to -7350411.110778033, 4913600.9074839875 to 5010934.336200354",bf24b60b5987abba8b11562299308236afed96352d8d19914000b0df
USC00214068,47.6181,-91.3753,612.6,MN,ISABELLA 1 W,,,,-6848868.116301538,5294898.6162869185,-6863743.9671962075 to -6766410.538479841,5205601.193633083 to 5302934.622349449,"-6863743.9671962075 to -6766410.538479841, 5205601.193633083 to 5302934.622349449",6b3c762016712424dc815c79a5767673a00b4fd18c551233b780d3ab
USC00214077,47.5933,-91.6514,530.4,MN,ISABELLA 14W,,,,-6872820.433181893,5292140.978210559,-6961077.395912573 to -6863743.967196207,5205601.193633083 to 5302934.622349449,"-6961077.395912573 to -6863743.967196207, 5205601.193633083 to 5302934.622349449",855ece7ad83538fc0346b662d99a4da8319070f089ec002e5632b738
USC00214093,47.0239,-92.07,429.8,MN,ISLAND LAKE 4E,,,,-6978992.141956295,5228826.497538004,-7058410.824628938 to -6961077.395912572,5205601.193633083 to 5302934.622349449,"-7058410.824628938 to -6961077.395912572, 5205601.193633083 to 5302934.622349449",a6a82c16ed3705456e77a679e1661c70abcb9dbda652c57934fdfcb5
USC00214103,46.3197,-93.5014,391.7,MN,ISLE 12N,,,,-7180447.716141469,5150522.919579429,-7253077.6820616685 to -7155744.253345302,5108267.764916718 to 5205601.193633084,"-7253077.6820616685 to -7155744.253345302, 5108267.764916718 to 5205601.193633084",05285a085f050a3777678ffaaacef57661d02447433a512f6a6b213a
USC00214106,47.2256,-95.1919,454.2,MN,ITASCA UNIV OF MINN,,HCN,,-7188327.960226593,5251254.545925174,-7253077.6820616685 to -7155744.253345302,5205601.193633083 to 5302934.622349449,"-7253077.6820616685 to -7155744.253345302, 5205601.193633083 to 5302934.622349449",945661213bfae827e679fd1dc39c84e6bceee5c4e6b1591e6db273e0
USC00214176,44.65,-93.6356,274.3,MN,JORDAN 1SSW,,,,-7407103.271155434,4964860.488285147,-7447744.539494399 to -7350411.110778033,4913600.9074839875 to 5010934.336200354,"-7447744.539494399 to -7350411.110778033, 4913600.9074839875 to 5010934.336200354",bf24b60b5987abba8b11562299308236afed96352d8d19914000b0df
USC00214191,48.4089,-93.0483,365.8,MN,KABETOGAMA,,,,-6868119.607733728,5382831.68849601,-6961077.395912573 to -6863743.967196207,5302934.6223494485 to 5400268.051065815,"-6961077.395912573 to -6863743.967196207, 5302934.6223494485 to 5400268.051065815",ea618ba1d3dc0b8313c55a963f6845f8fd0caebbfb851bad5582c485
USC00214233,47.9422,-94.4553,413.6,MN,KELLIHER,,,,-7035725.668534502,5330936.942921929,-7058410.824628938 to -6961077.395912572,5302934.6223494485 to 5400268.051065815,"-7058410.824628938 to -6961077.395912572, 5302934.6223494485 to 5400268.051065815",350ccfadfadbb41500aa6e28deeb125a5a5d6159f26cab41a04c8fdd
